"drug","targets","avg_score"
"INFLIXIMAB",3,NA
"ADALIMUMAB",2,NA
"ALTEPLASE",2,0.0754730981243488
"Approved",2,NA
"CELASTROL",2,0.158493506061132
"CHINESE HERBS",2,0.522246884342592
"CLAZAKIZUMAB",2,2.66345911014722
"ECHINACEA PREPARATION",2,0.522246884342592
"ETANERCEPT",2,NA
"GALLIUM NITRATE",2,0.225312227244947
"IBUDILAST",2,0.065280860542824
"INSULIN",2,NA
"LENALIDOMIDE",2,0.104022908625496
"MIDOSTAURIN",2,0.0464775660388209
"PENTOXIFYLLINE",2,0.0372648421988972
"PF",2,NA
"PLACULUMAB",2,0.561331167299844
"REMTOLUMAB",2,0.280665583649922
"SORAFENIB",2,0.0117591114098386
"THALIDOMIDE",2,0.0441341458319288
"ZILTIVEKIMAB",2,0.799037733044166
"HYDROXYSTAUROSPORINE",1,0.0608435880639692
"ABBV",1,0.280665583649922
"ABBV",1,0.187110389099948
"ACITRETIN",1,0.191925729995903
"ACUMAPIMOD",1,0.395483322415799
"AFELIMOMAB",1,0.561331167299844
"AME",1,NA
"AMPHOTERICIN B LIPOSOMAL",1,0.0431793205615265
"AN",1,0.561331167299844
"ANESTHETIC AGENT",1,0.112266233459969
"ANTI CTLA MONOCLONAL ANTIBODY",1,0.790966644831599
"ANTI PD L MONOCLONAL ANTIBODY",1,0.1977416612079
"ANTICONVULSANT AGENT",1,0.136480519108197
"ANTIDEPRESSANT AGENT",1,0.03936938051198
"ARRY",1,0.1318277741386
"ARSENIC TRIOXIDE",1,0.0819525880045299
"ASPIRIN",1,0.0230023346811569
"ATORVASTATIN CALCIUM TRIHYDRATE",1,NA
"AUTOANTIGEN",1,0.682402595540987
"AVX",1,1.12266233459969
"AZ",1,0.561331167299844
"AZD",1,0.395483322415799
"AZD",1,0.395483322415799
"BACILLUS CALMETTE GUERIN ANTIGEN",1,0.0935551945499741
"BAY",1,0.527311096554399
"BECLOMETHASONE DIPROPIONATE",1,NA
"BENZO E PYRENE",1,0.187110389099948
"BIAFINE CREAM",1,2.13076728811778
"BINETRAKIN",1,0.426153457623555
"BMS",1,0.790966644831599
"BUPIVACAINE",1,NA
"CABOZANTINIB S MALATE",1,0.0719060586210545
"CANAKINUMAB",1,NA
"CARBAMAZEPINE",1,0.0458229524326404
"CARBOPLATIN",1,0.0130542131930196
"CBS",1,0.2636555482772
"CDP",1,1.02360389331148
"CEFACLOR ANHYDROUS",1,0.146229127615926
"CEFOTAXIME SODIUM",1,0.112266233459969
"CELECOXIB",1,0.0236109446218388
"CEQ",1,2.3728999344948
