"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD17A",3405.80018373992,1.12620206932143,0.110406738263756,10.2004831139109,1.97288670260613e-24,3.51923530010881e-20
"CCL4",5551.69968034045,8.22867097611687,0.83355638553473,9.87176286921268,5.51860763163938e-23,2.99491048901861e-19
"TMEM88",295.893671216921,3.03758815071728,0.308320324339844,9.85205291678768,6.71579883174933e-23,2.99491048901861e-19
"TNF",8581.6633306749,6.61411417964989,0.670729033067294,9.86108227551005,6.13841263749444e-23,2.99491048901861e-19
"SLC35B2",1112.15320076985,1.91231678419274,0.198836881051223,9.61751549351702,6.74403967377097e-22,2.40600359401453e-18
"CCL4L2",3184.81142486268,7.74228158794581,0.826839285790657,9.36370794300409,7.69864267766918e-21,2.28880646807105e-17
"NAB2",1258.39664125564,2.64785606871836,0.287284746282505,9.21683487543942,3.05999252714191e-20,7.79773524273677e-17
"KDM6B",8750.18347334841,2.05911867027385,0.225182693840299,9.14421368337562,6.00652287536465e-20,1.33930443813443e-16
"INAFM1",135.813126135771,1.6607152500985,0.182224809238766,9.11355186506186,7.97280826470674e-20,1.58021059806487e-16
"IL1B",33183.7212783502,5.15297241261941,0.570222189061408,9.03677989294184,1.61354838199018e-19,2.87824760379409e-16
"ZNF674-AS1",166.865646636111,2.24549077819917,0.255998326918428,8.7715056782956,1.76292815597389e-18,2.85882840420566e-15
"MAILR",569.287151541918,5.28740531776023,0.60652781269421,8.71749853361787,2.84415496211249e-18,3.64483998415787e-15
"FBRS",5438.15077335758,1.03556926494547,0.118687189732855,8.72519829036618,2.65714621123965e-18,3.64483998415787e-15
"NFKB2",5606.87718540553,1.88985150687984,0.216804540315947,8.71684469396157,2.86062113343481e-18,3.64483998415787e-15
"METRNL",4396.44946573894,1.99087239516063,0.231028644593717,8.61742663409445,6.84756107945378e-18,8.14311963568643e-15
"ID2",4608.13742751591,1.43496736307948,0.166889173671851,8.59832505313383,8.08879238625863e-18,9.0179924116301e-15
"EDN1",57.5427334482274,3.93341890233796,0.460638939948169,8.53904991788265,1.35329909167017e-17,1.42000877630662e-14
"SRF",1957.77227782441,1.10681937706711,0.130900985731235,8.4553937534101,2.7814712687594e-17,2.75643802734057e-14
"LINC01366",22.9500941483872,5.48106293528438,0.650454262749623,8.42651551258137,3.56110623299959e-17,3.34331647285509e-14
"ARMC5",518.721015463464,1.93541606013364,0.233479498167161,8.28944757602643,1.13775648090784e-16,1.0147650053217e-13
"PTX3",1145.28929866159,3.96813265685724,0.47983646969814,8.26976044433127,1.3422844464759e-16,1.14017475982082e-13
"CCL2",170.374194192684,4.54281087495898,0.551866204057744,8.23172508400904,1.8453638095441e-16,1.48249412408572e-13
"PPCDC",593.701420879771,1.70763958012159,0.207552494973434,8.22750687887495,1.91150156149633e-16,1.48249412408572e-13
"F3",378.27772458672,6.203898528112,0.759519504159374,8.16818856413489,3.13054341113793e-16,2.32677639032826e-13
