Gene,HC_R21,HC_R22,HC_R23,HC_R24,HC_R25,HC_R26,HC_R27,HC_R28,HC_R29,HC_R30,HC_R61_1,HC_R62_2,HC_R63_3,HC_R64_4,HC_R65_5,RA_R51,RA_R52,RA_R53,RA_R54,RA_R55,RA_R56,RA_R57,RA_R59,RA_R60
MADD,2435.29,1931.35,1766.74,2341.6,2035.82,1787.86,2201.96,2228.82,2077.12,2105.01,2027.4,1913.39,2254.27,2168.34,1656.98,1815.99,2051.7,1859.4,2070.02,2094.67,1851.16,1828.25,2153.85,2334.41
MAST2,423.3,404.01,471.57,296.08,315.75,430.56,388.78,397.02,321.03,427.66,407.58,425.48,481.97,440.82,445.97,339.16,326.26,456.25,453.01,456.07,349.3,469.1,376.92,417.64
CSNK2A2,428.48,535.69,468.73,501.33,525.24,431.67,397.64,380.08,500.3,473.42,348.05,364.09,355.98,342.86,347.53,351.02,380.32,371.23,329.18,453.75,376.07,416.07,470.1,478.39
ZNF32,105.57,96.75,43.65,156.34,105.25,117.93,86.39,136.38,128.05,117.31,89.64,67.36,80.33,78.52,53.37,101.2,73.64,104.49,84.62,70.79,62.07,101.98,81.68,87.62
GAN,168.7,145.12,100.58,174.68,145.34,210.27,175,222.72,182.93,153.09,167.37,152.63,138.67,162.49,141.15,137.56,150.08,128.5,107.32,193.8,315.22,107.69,219.62,157.33
KRT18P57,5.17,45.69,27.52,8.73,9.02,12.24,4.43,1.61,2.74,1.66,0.7,3.41,0.85,1.55,1.19,0.79,2.8,0,3.1,1.16,0,1.63,1.21,7.04
H1-4,2.07,4.48,0.95,33.19,16.04,3.34,11.08,15.33,4.57,31.62,11.2,21.32,16.91,25.66,4.74,7.12,13.98,16.87,21.67,52.22,9.74,31.82,7.26,8.95
RN7SL220P,1.03,0,11.39,0,8.02,0,0,8.88,1.83,3.33,1.4,0,0,0,1.19,0.79,0,0,0,0,0,0,0.61,0
PDHB,454.35,377.13,456.39,389.54,408.97,571.85,561.57,526.94,611.89,648.14,500.72,508.19,449.84,505.35,505.28,399.25,357.95,460.79,426.18,313.33,348.08,447.88,349.7,465.6
RING1,836.26,741.72,760.02,626.23,788.87,718.7,811.89,848.92,741.76,663.95,833.37,811.74,815.12,777.46,770.97,924.99,1083.18,943,1056.68,1028.19,1150.13,993.67,912.36,775.79
PFDN6,413.99,257.09,366.25,323.16,341.81,535.13,434.19,404.29,452.74,365.26,348.76,364.94,399.95,324.98,390.23,452.22,336.51,349.81,448.88,297.08,412.59,438.91,314.61,310.83
KLF9,606.49,1006.88,1985.93,1330.19,1538.64,491.75,700.02,522.1,970.42,626.51,895,949.87,395.72,608.75,389.04,1355.07,933.1,703.52,742.98,1782.5,393.11,880.27,1170.7,1523.44
OR52K3P,262.88,318.91,470.63,407.88,121.29,364.92,328.96,228.37,419.81,343.62,331.95,309.52,380.5,341.31,266.87,287.77,238.63,401.09,299.26,351.63,265.32,251.27,106.48,336.41
RPL22P3,0,0,5.69,0,5.01,0,2.22,0,3.66,5.82,2.1,4.26,1.69,2.33,3.56,1.58,0,1.3,6.19,2.32,0,3.26,3.63,0.64
MRPL49,349.82,248.14,342.53,406.13,279.66,252.55,307.92,355.06,393.29,386.89,268.22,302.7,373.74,338.2,375.99,203.97,292.7,245.32,180.58,228.62,177.69,280.64,298.27,266.06
TRPC6,8.28,0,0.95,0.87,1,0,1.11,0,0,0,2.1,3.41,19.45,3.11,4.74,10.28,1.86,5.84,7.22,0,6.09,15.5,0,15.35
CYP2D8P,18.63,54.64,27.52,20.09,25.06,10.01,11.08,20.98,24.69,24.13,36.42,28.99,32.13,34.99,20.16,37.16,32.63,16.87,42.31,41.78,35.3,36.71,42.35,37.73
CDC42EP2,1.03,0,0,19.21,0,0,3.32,1.61,0,0,4.2,2.56,5.07,2.33,0,9.49,0.93,0,0,1.16,0,5.71,1.21,0
ATP6V1E2,167.67,105.7,191.67,192.15,155.37,212.5,206.02,179.95,106.1,197.19,150.57,158.6,154.74,126.73,106.75,134.4,174.32,129.8,122.8,150.86,121.71,135.43,160.33,128.55
KLHL17,204.92,266.05,221.08,270.76,215.51,209.16,138.45,221.11,225,147.27,333.35,397.34,341.61,393.4,346.34,421.38,438.12,427.69,403.48,315.65,281.14,387.51,369.66,342.81
NTAN1P2,0,0.9,0,0,2,0,0,0,0,1.66,2.8,1.71,3.38,2.33,2.37,2.37,0,1.95,1.03,0,0,0,1.21,0.64
