"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005819","spindle","162/4608","433/19979",0.374133949191686,1.62214022806005,7.16612638556403,8.1326836320876e-12,6.22150297854702e-09,6.22150297854702e-09,"PARP4/MZT2A/CSPP1/CNTRL/LSM14A/MAP1S/HAUS1/CCDC57/RASSF1/KATNBL1/HAUS7/CEP250/CLTCL1/EPB41/SMC1A/NIN/TADA2A/CEP350/ARHGEF2/KAT5/PSRC1/TBCCD1/MAP10/RMDN2/CSNK1A1/ESPL1/SIRT2/ARL8A/CBX1/RB1/ANAPC7/TUBB2A/CYLD/TERF1/TUBB6/HSF1/RAD21/HAUS6/CSNK1D/IKBKG/LIMK2/NEDD1/KLHL21/MYC/DYNLT1/MAD2L2/NCOR1/CALM2/CEP89/CDC25B/TUBGCP2/EML3/RCC2/TACC3/HSPB1/CEP295/E4F1/HAUS8/TTL/CDC7/DNAAF1/TBCK/BIRC6/ECT2/CKAP2L/PPP2CA/CEP19/NDEL1/DSN1/LATS1/CHMP1B/CTNNB1/RMDN3/MAP7D3/MAPK14/BRCC3/PPP2CB/CKAP2/INCENP/DPYSL2/UBXN2B/RMDN1/TTK/MCRS1/SPAST/YPEL5/LEMD2/RACGAP1/EMD/NUDCD2/KIF2A/SMC3/PLEKHG6/KBTBD8/MAPRE1/TUBB4B/HAUS5/DYNLT3/MAPK1/CALM3/ZW10/DYNC1LI1/TUBGCP4/ZZZ3/NEK7/TOPBP1/CCAR2/SPAG5/HNRNPU/ARL8B/CHMP1A/CCDC66/YEATS2/ATM/TPPP/KNSTRN/CIAO1/POLB/CHMP7/CDK1/AKT1/INVS/EVI5/CEP44/KAT14/GEM/CEP162/BNIP2/RANGAP1/KIF16B/KLHL42/MAEA/PLK3/INPPL1/KIF23/MYH10/ANXA11/CEP170/CCDC117/RGS14/NSL1/CEP63/DR1/RAB11FIP4/CHMP4BP1/CHMP2A/PKP4/MIS12/CLASP1/SBDS/GPSM2/ALMS1/BORA/TPR/NEDD9/KIF11/BBLN/DYNLL1/MAP7D1/CHMP4B/CKAP5/WNK1",162
"GO:0098687","chromosomal region","154/4608","417/19979",0.369304556354916,1.60120133060218,6.79301403112252,8.22463837614199e-11,2.20130045896129e-08,2.20130045896129e-08,"HDAC2/SLF2/FLYWCH1/RBBP4/CHRAC1/SYCP3/RPA2/PTGES3/PDS5A/CEBPB/NCAPD3/ZBTB10/SMC1A/RNF8/ZNF512/LRIF1/KAT5/BAZ1B/ATRX/DOT1L/PCNA/CSNK1A1/MCM3/RAD51D/MEAF6/BUB3/SIRT2/CBX1/PARP1/TERF1/XRCC5/NUP133/TNKS2/HSF1/RAD21/PML/WRNIP1/SNAI1/ERCC6L2/BRD7/DCLRE1B/ORC3/MSH2/CENPN/APEX1/ORC4/SUV39H2/NUP98/UPF1/TERF2/SUMO3/MRE11/RCC2/ALYREF/ACTB/PPP1CB/EZH2/NUP107/PBRM1/THOC3/ANAPC16/AHCTF1/TOX4/CENPQ/PPP2CA/NDEL1/H3-3B/DSN1/CHMP1B/LRWD1/NUP43/PPP2CB/INCENP/CHEK2/SMARCA4/DAXX/APC/THOC2/TTK/MCRS1/REC8/POT1/NGDN/NUDCD2/PPP2R5A/HNRNPA2B1/SMC3/SUGT1/H3-3A/BAZ1A/SMARCC2/DYNLT3/TELO2/ZW10/DYNC1LI1/GATAD2B/IKZF1/XPO1/GPATCH11/CENPC/ZNF330/SPAG5/HNRNPU/TEX14/RPA1/RAD17/CHMP1A/SETX/ATM/KNSTRN/DCTN6/ZNF276/CHMP7/PHF6/PPP1R12A/CDK1/PRKDC/RANGAP1/ACTL6A/NUP160/PLK3/RAD50/TFIP11/PIF1/KDM1A/ORC5/SUN2/NABP1/PPP1CC/CDK11B/NSL1/EME2/ATF7/SMARCD2/THOC6/CHMP4BP1/CHMP2A/MIS12/NUP37/FBXW11/NCAPD2/CLASP1/RECQL4/MIS18BP1/SGO2/MACROH2A1/ERCC4/TPR/DYNLL1/SMARCD1/NDC80/ORC2/CHMP4B/CKAP5",154
"GO:0005765","lysosomal membrane","169/4608","470/19979",0.359574468085106,1.5590143875591,6.71483875868336,1.15100677592747e-10,2.20130045896129e-08,2.20130045896129e-08,"CMTM6/VAPA/CD63/ATP6AP1/GPR137/LAMP1/LAPTM4A/SLC38A9/DNAJC13/TMEM63C/CKAP4/STK11IP/B4GALT1/PIP4P2/RNF152/WDR11/ATP6V1A/VPS33A/LNPEP/GRN/TMEM203/GPR155/NEU1/TMEM106B/SURF4/TMEM9B/CSF3R/MAPKAP1/RAB3D/VOPP1/ARL8A/VPS35/LAMP3/MCOLN1/SLC15A3/LITAF/TFE3/RNF13/IFITM1/SNAPIN/VPS41/CLEC16A/CD74/ZNRF2/STX7/MARCHF1/ATP6V0C/TMEM79/GNB2/SLC3A2/SLC30A4/IFITM2/AP5B1/ANKFY1/SLC7A5/TMEM165/C3AR1/KICS2/TFEB/HLA-DPA1/RILP/MFSD12/RAB14/RAB37/FPR1/FNIP1/RRAGD/WDR41/HLA-DMA/SLC35F6/CHMP1B/TOM1/GNAI3/TMBIM1/PLEKHM1/RDH14/MARCHF2/MTOR/SPPL2B/CTSA/VPS11/HLA-DPB1/SAR1A/ATP6V1F/SLC39A8/ATP6V0B/HLA-DRA/LRRC8A/TRAF3IP3/BORCS6/AP1G1/TASL/OSBPL11/CLCN7/HLA-F/DTX3L/SLC38A7/SLC29A3/SESN2/CTSD/MFSD1/VASN/HPS6/STX4/ARL8B/TCIRG1/BRI3/KCNK6/CHMP1A/LMBRD1/RAB5C/MROH1/CLCN3/TMEM63B/RMC1/SPPL2A/RAB12/LAPTM5/CHMP7/ATP6V0A2/AP3M1/EEF1A2/SPAG9/IFITM3/NSF/AP5M1/MARCHF9/ENTPD4/PLEKHM2/TLR8/LPCAT1/GOPC/NAPG/SLC7A11/AZU1/PIP4P1/SLC15A4/VPS16/LYN/MFSD8/VPS18/SLC11A1/ATP6V1H/P2RX4/FLOT1/TMEM175/ATP6V0D1/UBA52/CEACAM8/SLC11A2/HSPA8/STX17/SPG11/CHMP4BP1/CHMP2A/MANBA/CLCN6/AHNAK/VPS13C/PI4K2A/CP/SLC2A6/LDLR/STARD3/CLCN5/LRP1/SLC26A11/ABCA2/CHMP4B",169
"GO:0098852","lytic vacuole membrane","169/4608","470/19979",0.359574468085106,1.5590143875591,6.71483875868336,1.15100677592747e-10,2.20130045896129e-08,2.20130045896129e-08,"CMTM6/VAPA/CD63/ATP6AP1/GPR137/LAMP1/LAPTM4A/SLC38A9/DNAJC13/TMEM63C/CKAP4/STK11IP/B4GALT1/PIP4P2/RNF152/WDR11/ATP6V1A/VPS33A/LNPEP/GRN/TMEM203/GPR155/NEU1/TMEM106B/SURF4/TMEM9B/CSF3R/MAPKAP1/RAB3D/VOPP1/ARL8A/VPS35/LAMP3/MCOLN1/SLC15A3/LITAF/TFE3/RNF13/IFITM1/SNAPIN/VPS41/CLEC16A/CD74/ZNRF2/STX7/MARCHF1/ATP6V0C/TMEM79/GNB2/SLC3A2/SLC30A4/IFITM2/AP5B1/ANKFY1/SLC7A5/TMEM165/C3AR1/KICS2/TFEB/HLA-DPA1/RILP/MFSD12/RAB14/RAB37/FPR1/FNIP1/RRAGD/WDR41/HLA-DMA/SLC35F6/CHMP1B/TOM1/GNAI3/TMBIM1/PLEKHM1/RDH14/MARCHF2/MTOR/SPPL2B/CTSA/VPS11/HLA-DPB1/SAR1A/ATP6V1F/SLC39A8/ATP6V0B/HLA-DRA/LRRC8A/TRAF3IP3/BORCS6/AP1G1/TASL/OSBPL11/CLCN7/HLA-F/DTX3L/SLC38A7/SLC29A3/SESN2/CTSD/MFSD1/VASN/HPS6/STX4/ARL8B/TCIRG1/BRI3/KCNK6/CHMP1A/LMBRD1/RAB5C/MROH1/CLCN3/TMEM63B/RMC1/SPPL2A/RAB12/LAPTM5/CHMP7/ATP6V0A2/AP3M1/EEF1A2/SPAG9/IFITM3/NSF/AP5M1/MARCHF9/ENTPD4/PLEKHM2/TLR8/LPCAT1/GOPC/NAPG/SLC7A11/AZU1/PIP4P1/SLC15A4/VPS16/LYN/MFSD8/VPS18/SLC11A1/ATP6V1H/P2RX4/FLOT1/TMEM175/ATP6V0D1/UBA52/CEACAM8/SLC11A2/HSPA8/STX17/SPG11/CHMP4BP1/CHMP2A/MANBA/CLCN6/AHNAK/VPS13C/PI4K2A/CP/SLC2A6/LDLR/STARD3/CLCN5/LRP1/SLC26A11/ABCA2/CHMP4B",169
"GO:0016607","nuclear speck","151/4608","410/19979",0.368292682926829,1.59681413025068,6.68540754342718,1.57946585262866e-10,2.41658275452185e-08,2.41658275452185e-08,"SF3B1/MSL1/GADD45A/MTREX/APBB1/SPRTN/SDE2/CTR9/RBM4B/VPS72/CBY1/ZNF217/S100PBP/RBBP6/FBXL4/ZNF106/NOC3L/COPS4/BCLAF1/CSNK1A1/DHX15/PALB2/LITAF/NR4A1/API5/STK17A/BRD2/SFPQ/RING1/ELL/DDX39B/HDAC4/POMP/AK6/APEX1/BASP1/SIRT7/HSF4/SETD1A/PRKAA1/NXT1/CDK13/ALYREF/SUMO1/SAP30BP/PABPN1/THOC3/IFI16/JADE1/UNC45A/CACTIN/S100A11/SRSF7/GATAD2A/CDK12/HSPA1B/SF3A2/MEF2C/SNRPA1/GTF2H2C/SRSF2/MAPK14/EHMT2/GCNT1/NXF1/EIF4E/RBM39/SPOP/SRPK2/THOC2/SRSF5/EP400/LMNA/NFKBIZ/PIAS1/YLPM1/ZC3H14/CCNL1/ZC3H13/WBP4/RNF113A/CXXC1/ZNF638/SFMBT2/U2AF1L4/CLK2/ETAA1/RNF34/SGK1/PARN/PRPF4/GATAD2B/PAK2/TARDBP/HNRNPU/SRSF1/RSBN1L/DDX5/RNPS1/CASC3/ELOA/EIF4ENIF1/RBM14/SF3A3/WTAP/SMURF2/PPP1R8/PLRG1/SNRNP40/LUC7L2/DAZAP2/DUSP11/DYRK1A/INPPL1/USP36/HIF1A/ZC3H18/TFIP11/YTHDC1/RFXAP/SNRNP70/FTO/BRD1/RCHY1/EAF1/HP1BP3/POLR2D/EAF2/PPP1CC/CDK11B/NSL1/PSPC1/POLI/SRSF6/SRSF11/THOC6/AP5Z1/SART1/DDX42/ASCC1/PRPF3/PIN1/HSPA1A/ZBTB16/SRSF3/CWC25/DDX46/ATF4/SRSF9/NDC80/TCF12",151
"GO:0140168","nuclear ribonucleoprotein granule","169/4608","486/19979",0.347736625514403,1.50768881101395,6.20379678842131,2.08827684439251e-09,2.66255297660045e-07,2.66255297660045e-07,"SF3B1/MSL1/GADD45A/MTREX/APBB1/SPRTN/SDE2/CTR9/RBM4B/VPS72/ZC3H8/CBY1/ZNF217/S100PBP/RBBP6/ZNF473/FBXL4/ZNF106/NOC3L/COPS4/BCLAF1/CSNK1A1/TIA1/DHX15/PALB2/LITAF/NR4A1/API5/HSF1/STK17A/PHAX/BRD2/SFPQ/RING1/ELL/DDX39B/HDAC4/NEAT1/POMP/ICE2/AK6/APEX1/ISG20/BASP1/SIRT7/HSF4/SETD1A/PRKAA1/NXT1/CDK13/ALYREF/LSM10/NPAT/SUMO1/SAP30BP/PABPN1/THOC3/IFI16/JADE1/NUDT21/UNC45A/CACTIN/S100A11/SRSF7/GATAD2A/CDK12/HSPA1B/SF3A2/MEF2C/SNRPA1/GTF2H2C/SRSF2/MAPK14/EHMT2/GCNT1/HINFP/NXF1/EIF4E/RBM39/SPOP/SRPK2/THOC2/SRSF5/ARIH1/ZPR1/EP400/LMNA/BCL6/NFKBIZ/HNRNPA2B1/PIAS1/YLPM1/ZC3H14/CCNL1/ZC3H13/WBP4/RNF113A/CXXC1/ZNF638/SFMBT2/U2AF1L4/CLK2/ETAA1/RNF34/SGK1/PARN/PRPF4/GATAD2B/XPO1/PAK2/TARDBP/HNRNPU/SRSF1/RSBN1L/HNRNPM/DDX5/RNPS1/CASC3/ELOA/EIF4ENIF1/RBM14/SF3A3/WTAP/SMURF2/PPP1R8/PLRG1/SNRNP40/LUC7L2/DAZAP2/DUSP11/DYRK1A/INPPL1/USP36/HIF1A/ZC3H18/TFIP11/YTHDC1/RFXAP/SNRNP70/FTO/BRD1/RCHY1/EAF1/HP1BP3/POLR2D/EAF2/PPP1CC/CDK11B/NSL1/PSPC1/POLI/SRSF6/SRSF11/THOC6/AP5Z1/SART1/DDX42/ASCC1/PRPF3/PIN1/HSPA1A/ZBTB16/SRSF3/CWC25/DDX46/ATF4/SRSF9/NDC80/TCF12",169
"GO:0000775","chromosome, centromeric region","99/4608","257/19979",0.385214007782101,1.67018026507782,5.92057514585347,1.65874028096907e-08,1.65134923975934e-06,1.65134923975934e-06,"FLYWCH1/CHRAC1/SYCP3/PDS5A/CEBPB/NCAPD3/SMC1A/ZNF512/KAT5/BAZ1B/ATRX/CSNK1A1/MEAF6/BUB3/CBX1/NUP133/HSF1/RAD21/SNAI1/ERCC6L2/BRD7/CENPN/SUV39H2/NUP98/SUMO3/RCC2/ACTB/EZH2/NUP107/PBRM1/ANAPC16/AHCTF1/CENPQ/PPP2CA/NDEL1/H3-3B/DSN1/CHMP1B/LRWD1/NUP43/PPP2CB/INCENP/SMARCA4/DAXX/APC/TTK/MCRS1/REC8/NGDN/NUDCD2/PPP2R5A/SMC3/SUGT1/H3-3A/BAZ1A/SMARCC2/DYNLT3/ZW10/DYNC1LI1/IKZF1/XPO1/GPATCH11/CENPC/ZNF330/SPAG5/HNRNPU/TEX14/CHMP1A/KNSTRN/DCTN6/ZNF276/CHMP7/PHF6/PPP1R12A/RANGAP1/ACTL6A/NUP160/PLK3/PPP1CC/CDK11B/NSL1/SMARCD2/CHMP4BP1/CHMP2A/MIS12/NUP37/FBXW11/NCAPD2/CLASP1/MIS18BP1/SGO2/MACROH2A1/TPR/DYNLL1/SMARCD1/NDC80/ORC2/CHMP4B/CKAP5",99
"GO:0030139","endocytic vesicle","130/4608","362/19979",0.359116022099448,1.55702669390731,5.85592054625528,1.72690116576141e-08,1.65134923975934e-06,1.65134923975934e-06,"ADAM8/BTBD8/DYSF/LAMP1/HVCN1/EHD4/EREG/RALA/CLTCL1/AVPR2/PIP4P2/STAM2/HEATR5A/CSF3/CSF3R/MCOLN1/INPP5F/FZD2/LPAR1/RAB9A/HSP90B1/CD74/HGS/STX7/ATP6V0C/WNT5A/SLAMF1/SCIMP/SYK/HSPH1/HLA-B/VPS9D1/MTSS1/RAB43/DLG4/HLA-DPA1/RILP/RAB14/HLA-E/CYBA/RIN3/HLA-A/RAB10/GOLIM4/DNM1/SGIP1/TAPBP/MSR1/FCGR1A/MTOR/RIN2/HLA-C/VPS11/HLA-DPB1/APPL1/RAB34/ATP6V0B/HLA-DRA/SPHK1/FMNL1/HBEGF/EPGN/HLA-F/STX6/ATP7A/TLR2/DNM2/RAC2/DYNC1LI1/SCARF1/RAB5B/EPS15/CD82/ARRB2/TAP2/STX4/CTSL/HYOU1/MYO1C/TCIRG1/RAB11FIP3/LMBRD1/RAB5C/RAB5A/CLCN3/TFRC/PIK3C3/ARF6/ATP6V0A2/STXBP2/STXBP1/CDC42EP4/VAMP4/RABGEF1/VIM/ACTG1/RAB23/LRRK2/RAPGEF2/UNC93B1/RAB8B/VAMP2/RAB11B/ABCA1/ANXA11/PIP4P1/HSP90AA1/ZYX/LYN/SLC11A1/CLTB/FZD4/STAB1/ATP6V0D1/RAB35/UBA52/STXBP3/RIN1/RAB11FIP4/ANXA3/COLEC12/APOE/RABEP1/LDLR/LPAR2/SLC15A2/EHD1/LRP1/LTF/WNT5B",130
"GO:0005741","mitochondrial outer membrane","92/4608","235/19979",0.391489361702128,1.69738844562648,5.88806080128088,2.12298498090257e-08,1.73130204631058e-06,1.73130204631058e-06,"VPS13D/SLC25A46/TRABD/PDE2A/BCL2A1/SYNJ2BP/PLEC/IMMT/BCL2/PTRH2/WASF1/MTCH1/FBXL4/TOMM40L/MAPKAP1/ZNFX1/HSPA9/CCDC127/EXD2/MTERF3/PPP1R15A/GPAM/SERAC1/HK1/SAMM50/ACSL1/RHOT2/MIGA2/PIGBOS1/BAX/ARMCX3/BCL2L2/MCL1/PGAM5/RMDN3/FOXO3/FUNDC2/CHCHD3/MTOR/VAT1/BID/MIEF1/DMPK/TRAF3IP3/SNN/ANGEL1/VDAC2/TIGAR/ARMC1/RHOT1/PRNP/SLC29A3/ARMC10/RAC2/COASY/CYP27B1/MIGA1/NLRX1/AGPAT5/VDAC3/IFI6/BBC3/LRRK2/RAF1/GRK2/MFN2/PI4KB/TOMM40/MTARC1/SLC25A47/RNF185/PPP1CC/PGRMC1/UBA52/STARD7/NEU4/SLC11A2/MIEF2/MTX1/DNM1L/CYB5R3/MOAP1/LPIN1/VPS13C/GPR35/ATAD1/PLD6/BRI3BP/ATF2/RPS6KB1/ULK1/PMAIP1",92
"GO:0031968","organelle outer membrane","101/4608","265/19979",0.381132075471698,1.65248214753669,5.85444017866521,2.26313992981775e-08,1.73130204631058e-06,1.73130204631058e-06,"VPS13D/SLC25A46/TRABD/PDE2A/BCL2A1/SYNJ2BP/PLEC/IMMT/BCL2/PTRH2/WASF1/MTCH1/FBXL4/TOMM40L/MAPKAP1/ZNFX1/HSPA9/CCDC127/SMPD4/EXD2/MTERF3/PPP1R15A/GPAM/SERAC1/HK1/SAMM50/ACSL1/RHOT2/MIGA2/PIGBOS1/BAX/ARMCX3/BCL2L2/MCL1/PGAM5/RMDN3/FOXO3/FUNDC2/CHCHD3/ITPRIP/MTOR/VAT1/BID/MIEF1/SYNE1/DMPK/EMD/TRAF3IP3/SNN/ANGEL1/VDAC2/TIGAR/ARMC1/RHOT1/PTGS2/PRNP/SLC29A3/ARMC10/RAC2/COASY/CYP27B1/LTC4S/MIGA1/NLRX1/AGPAT5/VDAC3/IFI6/BBC3/LRRK2/SYNE3/RAF1/GRK2/MFN2/PI4KB/LRPPRC/TOMM40/MTARC1/SLC25A47/RNF185/PPP1CC/PGRMC1/UBA52/STARD7/NEU4/SLC11A2/MIEF2/MTX1/DNM1L/CYB5R3/MOAP1/LPIN1/VPS13C/GPR35/ENO1/ATAD1/PLD6/BRI3BP/ATF2/RPS6KB1/ULK1/PMAIP1",101
