"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","catalytic activity, acting on RNA","175/4553","427/18706",0.409836065573771,1.68381143040258,8.10732354813542,1.3175314161727e-14,1.68380514986871e-11,1.68380514986871e-11,"EARS2/BUD23/DHX40/SARS1/ZC3H12A/YARS2/MTREX/DDX3X/TRMO/RNASE1/POLR3B/LARS1/FARSA/METTL25B/DARS2/FTSJ3/CPSF3/DDX6/DUS2/PTRH2/DTWD1/METTL8/SUPV3L1/MED20/LRRC47/POP7/ENDOV/NARS1/CMTR2/DDX41/AGO4/DHX15/MRPL58/ETF1/RPP40/ERI2/MRM1/DIS3L/DICER1/POLR3A/NUDT16/NOP2/EXD2/DDX39B/TSNAX/TFB1M/QRSL1/TRMT61B/DDX31/ADARB1/METTL2B/DDX24/DCPS/ELP3/ATE1/HELZ2/POLR1B/APEX1/ISG20/OSGEPL1/EPRS1/RRP8/DHX34/IARS2/GATC/AGO3/UPF1/DDX1/TARS2/EMG1/EXOSC3/PDE12/DDX21/SAMHD1/CNOT1/DDX59/DHX32/RNASET2/NSUN4/DARS1/EXOSC5/RAD54L2/PUS7/RCL1/TRMT1L/TSR3/DDX50/RNASEL/CNOT8/TRMT13/SLFN12/ALKBH3/MEPCE/NYNRIN/DHX29/USB1/MTFMT/GATB/THUMPD3/ANGEL1/CNOT6/DDX39A/DDX55/DDX10/MBLAC1/METTL5/DUS1L/DCP2/DTD2/PARN/POP1/HENMT1/KHNYN/RARS2/DUS3L/PRIMPOL/DDX19B/DDX5/PRIM1/FANCM/NSUN6/NSUN5/AGO2/MARS2/SETX/PLD3/TRUB1/RPP25/MARF1/PPP1R8/DBR1/ANKZF1/WARS2/MOV10/CMTR1/AARS1/DHX57/DDX28/NOB1/POLR3K/DHX37/TSEN2/INTS11/POLR2J2/PIF1/RPP38/JMJD6/ERI1/FTO/TARS1/IARS1/PUS3/HELZ/MTO1/DDX42/NOCT/DHX8/DDX23/DHX33/TRIT1/PARS2/POLR2H/TRMT2B/DHX38/DXO/POP5/TRUB2/ERN1/METTL1/RNMT/DDX46/PLD6/GGT1/TRMT61A/PIWIL2",175
"GO:0044389","ubiquitin-like protein ligase binding","126/4553","313/18706",0.402555910543131,1.65390091425869,6.61700184920903,2.66259904367925e-10,1.35780736155071e-07,1.35780736155071e-07,"TCP1/MAP1LC3B/CUL4B/SLF2/RNF40/TNFRSF14/RELA/RPA2/FBXO7/APBB1/EGR2/RALA/MAP3K7/XBP1/CEBPB/RNF8/BCL2/RTN4/SMAD7/CD40/CLU/NDUFS2/TRIM37/DERL1/UBXN1/HSPA9/RB1/PARP1/XRCC5/HDAC6/ERLIN1/TNK2/PML/RALB/ARRDC1/IKBKG/SQSTM1/TRIP4/TRAF1/NLK/JKAMP/HGS/ATP6V0C/SNX9/MYC/SMAD2/UBASH3B/TRIB1/TRIB2/SUMO3/DNAJB2/MAP1LC3A/SUMO1/NEDD8/TMBIM6/STAT2/HSPA1B/CTNNB1/BCL10/GABARAPL1/MAP1LC3B2/WBP1L/CHEK2/TXNIP/DAXX/FAF2/SPOP/APC/PRKAR1A/TRAF4/OTUB1/BID/STUB1/ARIH1/CDKN1A/PIAS1/CUL2/FBXW7/YWHAZ/IKBKE/HSPA1L/DTX3L/CDKN1B/BAG4/DET1/RNF34/RNF20/CACYBP/TRIB3/ARRB2/BRCA1/CASC3/LAPTM5/ACTG1/DAZAP2/VCL/NFE2L2/DBT/HIF1A/SMAD3/AUP1/SKI/HSP90AA1/MFN2/LRPPRC/LYN/CUL4A/BAG6/NFKBIA/FZD4/ERLIN2/USP2/PER3/HSPA8/DNM1L/MOAP1/CASP10/GPI/UBE2J1/HSPA1A/VCP/TP53/HERC2/SMAD6/SHPRH/PRR7",126
"GO:0140297","DNA-binding transcription factor binding","180/4553","489/18706",0.368098159509202,1.51233124791986,6.5113385034209,3.18734122429745e-10,1.35780736155071e-07,1.35780736155071e-07,"TAF9/HDAC2/ZBTB7A/RELA/EGR2/BCL3/MAP3K7/XBP1/INTS13/CEBPB/PPARD/BCL2/TRIP6/PPARA/LRIF1/KAT5/BBS7/PDCD11/GTF2A1/DOT1L/HEY1/PCNA/MLX/AKAP8/E2F1/SIRT2/NCOA6/RB1/PARP1/BBS2/USF1/FOXC1/PRMT2/GATA6/NR4A1/NR1H2/TGFB1I1/OASL/RNF14/YWHAH/SMAD4/RAD21/HMGB2/IKZF4/HDAC4/HHEX/NIF3L1/HDAC8/SPI1/TRIP4/NLK/HES1/ETS2/MAX/ARID1A/NCOR2/MYC/SETD1A/MAD2L2/NCOR1/SMAD2/TRIB1/TRIB2/TAF4/TLE1/BHLHE41/HSPB1/ACTB/NLRP3/ID2/NOC2L/FLT3/KDM3A/NKX3-1/E4F1/EEF1D/TAF12/DNAJA3/PRDM5/CREB1/CNOT1/ELK1/RUNX1/ARID5A/LATS1/HCFC1/MEF2C/CTNNB1/BCL10/MLXIPL/GABARAPL1/MAPK14/FOS/SMARCA4/EIF4E/XPC/JUND/DAXX/COMMD8/BRD8/CEBPA/STRN/MED30/WBP2/PSIP1/TP53BP2/BCL6/SP1/PAGR1/PURB/MAP3K10/PIAS1/GTF2H1/YWHAZ/CDKN2A/LDB1/ID3/DTX3L/TMF1/AHR/ZBTB49/VDR/CCNT1/XPO1/DDX5/JMJD1C/CREM/RBPJ/ZBTB17/MDFIC/FLNA/USF2/RARG/PRKDC/SETD3/ACTN4/METTL23/DAZAP2/NR4A3/FIZ1/DLL1/TOB2/SLC30A9/ASXL1/NFE2L2/HIF1A/ZFPM1/TAF1/SMAD3/PPARG/NFYB/SKI/CGGBP1/KDM1A/NFKBIA/BBS10/TAF10/BHLHE40/DDIT3/PSMA6/ZNF366/KLF5/NCOA7/HMGA1/MTA1/DHX33/SRF/WIPI1/TP53/CRTC2/CITED2/TRIM68/CRKL/FKBP4/ATF4/ATF2/MEF2D/TXLNG/NSD1/TCF12",180
"GO:0031625","ubiquitin protein ligase binding","119/4553","293/18706",0.406143344709898,1.66863988713889,6.54285419286083,4.35956833327255e-10,1.39288208248058e-07,1.39288208248058e-07,"TCP1/MAP1LC3B/CUL4B/SLF2/RNF40/TNFRSF14/RELA/RPA2/FBXO7/APBB1/EGR2/RALA/MAP3K7/XBP1/RNF8/BCL2/RTN4/SMAD7/CD40/CLU/NDUFS2/TRIM37/DERL1/UBXN1/HSPA9/RB1/PARP1/XRCC5/HDAC6/ERLIN1/TNK2/PML/RALB/ARRDC1/IKBKG/SQSTM1/TRAF1/NLK/JKAMP/ATP6V0C/SNX9/MYC/SMAD2/UBASH3B/TRIB1/TRIB2/DNAJB2/MAP1LC3A/SUMO1/NEDD8/TMBIM6/HSPA1B/CTNNB1/BCL10/GABARAPL1/MAP1LC3B2/WBP1L/CHEK2/TXNIP/DAXX/FAF2/SPOP/APC/PRKAR1A/TRAF4/OTUB1/BID/STUB1/ARIH1/CDKN1A/PIAS1/CUL2/FBXW7/YWHAZ/IKBKE/HSPA1L/CDKN1B/BAG4/DET1/RNF34/RNF20/CACYBP/TRIB3/ARRB2/BRCA1/CASC3/LAPTM5/ACTG1/DAZAP2/VCL/NFE2L2/DBT/HIF1A/SMAD3/AUP1/SKI/HSP90AA1/MFN2/LRPPRC/LYN/CUL4A/BAG6/NFKBIA/FZD4/ERLIN2/USP2/PER3/HSPA8/DNM1L/MOAP1/CASP10/GPI/UBE2J1/HSPA1A/VCP/TP53/HERC2/SMAD6/SHPRH",119
"GO:0031267","small GTPase binding","114/4553","289/18706",0.394463667820069,1.62065393591966,6.03104292157309,7.37290028611763e-09,1.88451331313167e-06,1.88451331313167e-06,"ATP6AP1/DVL1/NOXA1/RASSF1/GGA2/RIC1/RNF152/ARHGEF2/EXOC5/MAP3K11/WASF1/IPO8/MAPKAP1/RAP1GAP/PAK1/RAB29/DOCK11/YBX3/GARRE1/DENND10/RABGGTA/CDC42SE1/RABGAP1/NXT1/XPO6/RASGRP3/RBSN/VPS9D1/ANKFY1/RCC2/TAMALIN/RAB3GAP2/BICD2/RILP/RIN3/ERRFI1/EXOC2/ECT2/ROCK2/RABGAP1L/SIKE1/MICAL1/RIN2/TNPO2/AFDN/USP33/DVL3/RAB34/PLEKHA8/AP1G1/FMNL1/FGD3/FGD2/EPS8/PPP6R1/SGSM2/GCC1/TMEM127/MICALL2/MYO9B/RILPL2/XPOT/TRIP11/XPO1/PAK2/HPS6/MYO1C/IPO9/IQGAP2/RAB11FIP3/GGA1/CIB1/FARP1/CDKL5/EHBP1L1/FLNA/XPO5/EVI5/AP3M1/CDC42EP4/DAAM2/RABGEF1/RANGAP1/DENND1B/GDI1/RANBP2/LRRK2/RANBP10/DOCK4/RANBP9/ABCA1/MYCBP2/GDI2/DAAM1/RHOH/NDRG1/RUSC2/XPO7/FGD6/RIN1/RAB11FIP4/PLEKHG2/DNM1L/WDR44/SYTL3/PFN1/IQGAP3/EHD1/GOLGA5/ULK1/EVI5L/CHM/GIT2/CSE1L",114
"GO:0051020","GTPase binding","123/4553","323/18706",0.380804953560372,1.56453710988366,5.80482312576656,2.20087538988839e-08,4.68786458046227e-06,4.68786458046227e-06,"ATP6AP1/DVL1/NOXA1/RASSF1/GGA2/RIC1/RNF152/ARHGEF2/EXOC5/MAP3K11/WASF1/IPO8/MAPKAP1/RAP1GAP/PAK1/RAB29/DOCK11/YBX1/YBX3/GARRE1/DENND10/RABGGTA/GNB2/EPRS1/CDC42SE1/RABGAP1/NXT1/XPO6/RASGRP3/RBSN/VPS9D1/ANKFY1/RCC2/TAMALIN/RAB3GAP2/BICD2/RILP/BIN1/RIN3/ERRFI1/EXOC2/ECT2/RRAGD/ROCK2/RABGAP1L/SIKE1/MICAL1/RIN2/TNPO2/AFDN/USP33/DVL3/RAB34/PLEKHA8/AP1G1/FMNL1/FGD3/FGD2/EPS8/PPP6R1/SGSM2/GCC1/TMEM127/MICALL2/MYO9B/RILPL2/XPOT/TRIP11/XPO1/PAK2/HPS6/MYO1C/IPO9/IQGAP2/RAB11FIP3/GGA1/CIB1/FARP1/CDKL5/EHBP1L1/FLNA/XPO5/EVI5/AP3M1/CDC42EP4/DAAM2/RABGEF1/RANGAP1/DENND1B/GDI1/PREB/RANBP2/LRRK2/RANBP10/DOCK4/RANBP9/ABCA1/MYCBP2/GDI2/HSP90AA1/DAAM1/RHOH/NDRG1/RUSC2/XPO7/IARS1/FGD6/RIN1/RAB11FIP4/PLEKHG2/DNM1L/WDR44/SYTL3/PFN1/IQGAP3/ENO1/EHD1/GOLGA5/ULK1/EVI5L/CHM/GIT2/CSE1L",123
"GO:0140537","transcription regulator activator activity","12/4553","12/18706",1,4.1084998901823,6.10933286676541,4.27594841903331e-08,7.80666011360653e-06,7.80666011360653e-06,"STK3/PARP1/ZNF143/NOTCH1/SAV1/ELK1/NSD3/MBTPS2/BICRA/HIF1A/JMJD6/DDIT3",12
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","130/4553","351/18706",0.37037037037037,1.52166662599344,5.59593736998557,6.00613053546582e-08,9.59479353040665e-06,9.59479353040665e-06,"HDAC2/ZBTB7A/RELA/EGR2/XBP1/CEBPB/PPARD/TRIP6/PPARA/LRIF1/BBS7/PDCD11/GTF2A1/DOT1L/HEY1/PCNA/MLX/AKAP8/NCOA6/RB1/PARP1/BBS2/FOXC1/PRMT2/GATA6/NR4A1/NR1H2/TGFB1I1/OASL/RNF14/YWHAH/SMAD4/HDAC4/NIF3L1/SPI1/TRIP4/HES1/ETS2/ARID1A/NCOR2/SETD1A/MAD2L2/NCOR1/SMAD2/TRIB1/TRIB2/TAF4/BHLHE41/HSPB1/ACTB/ID2/FLT3/KDM3A/NKX3-1/E4F1/DNAJA3/CREB1/CNOT1/ELK1/ARID5A/LATS1/MEF2C/CTNNB1/BCL10/MLXIPL/GABARAPL1/MAPK14/FOS/SMARCA4/XPC/JUND/DAXX/COMMD8/BRD8/CEBPA/STRN/MED30/WBP2/TP53BP2/SP1/PAGR1/GTF2H1/CDKN2A/LDB1/DTX3L/TMF1/AHR/VDR/DDX5/JMJD1C/RBPJ/MDFIC/RARG/PRKDC/SETD3/ACTN4/NR4A3/FIZ1/DLL1/TOB2/SLC30A9/ASXL1/NFE2L2/HIF1A/ZFPM1/TAF1/SMAD3/PPARG/KDM1A/NFKBIA/BBS10/TAF10/BHLHE40/DDIT3/PSMA6/ZNF366/NCOA7/HMGA1/MTA1/SRF/WIPI1/TP53/CITED2/TRIM68/CRKL/FKBP4/ATF4/ATF2/MEF2D/NSD1",130
"GO:0120545","nucleic acid conformation isomerase activity","67/4553","154/18706",0.435064935064935,1.78746423793645,5.5654368654479,1.31481322619318e-07,1.86703478119431e-05,1.86703478119431e-05,"DHX40/TOP3A/MTREX/DDX3X/DDX6/ATRX/SUPV3L1/MCM3/DDX41/DHX15/ZNFX1/HELQ/XRCC5/DICER1/WRNIP1/DDX39B/FBH1/ERCC6L2/DDX31/DDX24/HELZ2/DHX34/UPF1/DDX1/MRE11/DDX21/DDX59/HELB/DHX32/CHD3/RAD54L2/CHD8/DDX50/SMARCA4/DHX29/EP400/TOP1/DDX39A/DDX55/DDX10/TWNK/SMARCAL1/SMARCA2/DDX19B/DDX5/FANCM/ERCC3/SETX/RFC5/MOV10/DHX57/DDX28/DHX37/RAD50/PIF1/HELZ/DDX42/DHX8/DDX23/DHX33/DHX38/RECQL4/TP53/DDX46/SHPRH/DDX12P/TOP2B",67
"GO:0004386","helicase activity","62/4553","142/18706",0.436619718309859,1.79385206472748,5.3858145974881,3.26664729073956e-07,4.17477523756516e-05,4.17477523756516e-05,"DHX40/MTREX/DDX3X/DDX6/ATRX/SUPV3L1/MCM3/DDX41/DHX15/ZNFX1/HELQ/XRCC5/DICER1/WRNIP1/DDX39B/FBH1/ERCC6L2/DDX31/DDX24/HELZ2/DHX34/UPF1/DDX1/MRE11/DDX21/DDX59/HELB/DHX32/CHD3/RAD54L2/CHD8/DDX50/SMARCA4/DHX29/EP400/DDX39A/DDX55/DDX10/TWNK/SMARCA2/DDX19B/DDX5/FANCM/ERCC3/SETX/RFC5/MOV10/DHX57/DDX28/DHX37/RAD50/PIF1/HELZ/DDX42/DHX8/DDX23/DHX33/DHX38/RECQL4/DDX46/SHPRH/DDX12P",62
