"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","111/2256","248/9382",0.44758064516129,1.86134823266987,7.73473271061695,3.68381153052922e-13,1.29301784721576e-10,1.29301784721576e-10,"RELA/NLRC4/RALA/MAP3K7/TAB3/BCL2/FBXO22/VPS33A/EXOC5/PODXL/ARL8A/MAPK11/TUBB2A/MAPK13/PAK1/TUBB6/IKBKB/VPS41/GAPDH/IKBKG/RAB9A/HSP90B1/TNFRSF10A/AKT2/RHOG/SKP1/MAP2K7/SNX9/MYC/DYNLT1/TCF7L1/ARPC5L/EXOC4/ACTB/NLRP3/RILP/BAX/EXOC2/CYTH2/ROCK2/ARF1/ELMO1/CYTH4/CTNNB1/SNX33/MAPK14/CYCS/FOS/PLEKHM1/IL1B/ARPC1B/VPS11/DYNC1H1/MYL5/ACTR10/IRAK4/TUBA4A/TUBB4B/RAC1/DYNLT3/MAPK1/FHOD1/MAP2K4/TLR2/DNM2/DYNC1LI1/KPNA4/TNF/ELMO2/RAB5B/ARL8B/TUBA1C/RHOB/RAB5C/BIRC3/RAB5A/DCTN6/FLNA/PIK3C3/ARF6/CD14/AKT1/IRAK1/CXCL8/PLEKHM2/RHOA/ACTG1/RAF1/HSP90AA1/MAPK12/VPS16/TLR4/RHOH/VPS18/EXOC7/NFKBIA/CYTH1/RIPK2/S100A10/MYD88/DYNC1I2/AHNAK/PFN1/IL6/TLR5/DYNLL1/TNFRSF10B/TNFSF10/MAP2K3/CSE1L/MYL9",111
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","80/2256","181/9382",0.441988950276243,1.83809411856902,6.405982850298,1.55995932574208e-09,2.73772861667734e-07,2.73772861667734e-07,"TGFB1/ATP6AP1/IL1A/RFX5/LAMP1/RELA/EEA1/CEBPB/BCL2/CASP9/HSPA9/MAPK11/IL23A/MAPK13/IFNGR1/APAF1/CD74/AKT2/ATP6V0C/SYK/CALM2/HLA-DPA1/NFYA/BAX/CREB1/CLEC7A/HLA-DMA/BCL10/MAPK14/FCGR1A/CYCS/IL1B/FCGR2B/BID/HLA-DPB1/ATP6V0B/HLA-DRA/SPHK1/IRAK4/MAPK1/TLR2/CALM3/CTSD/VDR/TNF/RAB5B/TCIRG1/IFNGR2/RAB5C/RAB5A/CYP27B1/PIK3C3/CD14/ATP6V0A2/IL10/AKT1/IRAK1/RHOA/SRC/PLK3/RFXAP/NFYB/RAF1/ITGAX/MAPK12/TLR4/FCER1G/PPP3CB/ATP6V1H/IRAK2/ATP6V0D1/RIPK2/MYD88/CASP10/MRC2/FCGR2C/FCGR3B/IFNB1/IL6/IL10RB",80
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","54/2256","108/9382",0.5,2.07934397163121,6.3475979152432,3.80583868305823e-09,4.45283125917813e-07,4.45283125917813e-07,"NUP214/SNUPN/IPO8/UPF3B/NUP88/NCBP1/NUP133/PHAX/DDX39B/NXT1/XPO6/NUP98/UPF1/SUMO3/ALYREF/NUP107/SUMO1/THOC3/AHCTF1/NUP43/NXF1/PYM1/THOC2/NDC1/NCBP2/TNPO2/POM121C/NUP35/POM121/XPOT/KPNA4/XPO1/NUP153/IPO9/NUP50/DDX19B/KPNA2/RNPS1/CASC3/NUP42/NUP155/XPO5/NMD3/EEF1A2/RANGAP1/GLE1/RANBP2/NUP160/XPO7/THOC6/NUP37/NUP205/TPR/CSE1L",54
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","115/2256","300/9382",0.383333333333333,1.59416371158392,5.88501005282748,1.5250869128647e-08,1.33826376603877e-06,1.33826376603877e-06,"TGFB1/IL1A/GADD45A/RELA/EREG/MAP3K7/IGF1R/PPM1B/SOS2/VEGFA/ARAF/MAP3K11/TAOK3/FGFR1/MET/DUSP7/PRKACB/PDGFB/IL1R1/STK3/MAPK11/RPS6KA1/MAPK13/PAK1/NR4A1/IKBKB/IKBKG/NRAS/AKT2/NLK/MAPKAPK2/MAP2K7/MAX/MYC/HGF/VEGFB/CDC25B/RASGRP3/DUSP6/RASGRP2/HSPB1/FLT3/DUSP8/ELK1/GADD45G/HSPA1B/MEF2C/EFNA4/MAPK14/FGF9/MAPKAPK5/FOS/IL1B/JUND/DAXX/CACNB3/CACNA2D3/MAP3K8/CACNA1E/MAP3K10/DUSP10/IRAK4/CSF1/MAP3K6/RAC1/HSPA1L/MAPK1/MAP2K4/RAC2/TNF/PAK2/ARRB2/PTPN7/RRAS2/SOS1/FLNA/MAP4K2/CD14/AKT1/IRAK1/DUSP4/MAPK7/DUSP3/NFKB2/RELB/RAPGEF2/MAPKAPK3/RAF1/NF1/IL1RAP/MAPK12/PDGFA/GNA12/TAOK1/CACNA1G/DUSP2/PPP3CB/CACNA1A/DDIT3/MAP4K3/HSPA8/MAPK8IP3/FLT1/MYD88/SRF/GADD45B/HSPA1A/TAOK2/TP53/CRKL/ATF4/ATF2/RPS6KA3/DUSP5/MAP2K3",115
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","88/2256","216/9382",0.407407407407407,1.69428027318098,5.80821897686978,3.00578295163894e-08,2.11005963205054e-06,2.11005963205054e-06,"RXRB/CXCL1/ICAM1/RELA/OLR1/VAV3/MAP3K7/XBP1/BCL2/CD40/CASP9/CCL2/CXCL3/CCL3/MAPK11/MAPK13/ARHGEF1/IKBKB/IKBKG/HSP90B1/APAF1/IRF7/TNFRSF10A/NRAS/AKT2/MAP2K7/CCL5/CALM2/ATF6/NLRP3/BAX/CYBA/CXCL2/ROCK2/HSPA1B/MAPK14/CYCS/FOS/IL1B/BID/CASP6/IRAK4/CCL3L3/IKBKE/VAV2/MIB1/RAC1/HSPA1L/MAPK1/MAP2K4/TLR2/CALM3/TNF/ITPR1/TICAM1/EIF2S1/CD14/AKT1/IRAK1/MMP9/CXCL8/RHOA/SRC/NFE2L2/SOD2/ABCA1/PPARG/HSP90AA1/MAPK12/LYN/TLR4/NFKBIA/PPP3CB/DDIT3/HSPA8/MYD88/HSPA1A/LDLR/ERN1/TP53/IFNB1/IL6/MIB2/ATF4/TNFRSF10B/TNFSF10/MAP2K3/VAV1",88
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","81/2256","196/9382",0.413265306122449,1.71864144594008,5.72068826069134,5.07143538327455e-08,2.96678969921561e-06,2.96678969921561e-06,"CXCL1/MAP1LC3B/ATG3/ICAM1/RELA/MICB/CASP9/VEGFA/CXCL3/CSF2/PDGFB/E2F1/MAPK11/RB1/MAPK13/CCND1/IFNGR1/IKBKB/PIK3R6/IKBKG/IRF7/NRAS/AKT2/MAPKAPK2/MAP2K7/GNB2/MYC/SYK/CCR5/CALM2/HLA-B/TCF7L1/MAP1LC3A/BAX/HLA-E/HLA-A/CREB1/CXCL2/STAT2/MICA/CTNNB1/MAP1LC3B2/MAPK14/ITPR2/CYCS/FOS/TYK2/MTOR/HLA-C/BID/CDKN1A/IKBKE/RAC1/HLA-F/PTGS2/MAPK1/MAP2K4/CALM3/ITPR1/TICAM1/PIK3C3/AKT1/CD200R1/IRF9/CXCL8/CCR1/SRC/HIF1A/PIK3R5/RAF1/MAPK12/LYN/NFKBIA/PPP3CB/UBA52/CDK6/RCAN1/TP53/IFNB1/ZFP36/IL6",81
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","55/2256","119/9382",0.46218487394958,1.92208266285238,5.69558990666989,8.9901577403565e-08,4.50792195266447e-06,4.50792195266447e-06,"SOCS3/CXCL1/CCL20/ICAM1/RELA/BCL3/MAP3K7/TAB3/CEBPB/CCL2/CXCL3/CSF2/MAPK11/TNFAIP3/CYLD/MAPK13/CXCL5/IKBKB/IRF1/IKBKG/AKT2/TRAF1/MAP2K7/CCL5/RHBDF2/EDN1/CREB1/CXCL2/ADAM17/PGAM5/JAG1/MAPK14/FOS/IL1B/MAP3K8/CSF1/PTGS2/MAPK1/MAP2K4/BAG4/TNF/BIRC3/AKT1/MMP9/MAPK12/NFKBIA/CXCL6/DNM1L/CASP10/LIF/IFNB1/IL6/ATF4/ATF2/MAP2K3",55
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","67/2256","157/9382",0.426751592356688,1.77472670190179,5.50790410167049,1.71874835299193e-07,7.5410083987521e-06,7.5410083987521e-06,"TGFB1/SLC2A1/CEBPB/PPARD/VPS33A/DUSP7/ATP2A2/MAPK11/MAPK13/ADAM9/HAVCR2/NR1H2/VPS41/MAPKAPK2/PLA2G6/C1QC/RAB14/ODC1/DUSP8/CREB1/ADAM17/XKR8/MFGE8/ELMO1/MAPK14/P2RY6/VPS11/UQCRFS1/GAS6/SPHK1/PTPN6/ATP2A3/RAC1/SLC16A1/PTGS2/MAPK1/ADGRB1/SCARF1/SGK1/ALOX5/RAB5B/GPR132/RAB5C/RAB5A/IL10/C1QA/DUSP4/ANO9/PTGER4/S1PR1/HIF1A/ABCA1/PPARG/MAPK12/VPS16/VPS18/DUSP2/STAB1/ATP2A1/THBS1/TGFBRAP1/CRKL/AXL/LRP1/PTGER2/DUSP5/ANO6",67
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","43/2256","87/9382",0.494252873563218,2.05544346621016,5.56469174391413,2.22389582178614e-07,8.67319370496596e-06,8.67319370496596e-06,"TGFB1/GADD45A/EREG/RALA/BCL2/SOS2/CASP9/ARAF/RPS6KB2/CCND1/SMAD4/RALB/NRAS/AKT2/MSH2/MYC/MSH3/SMAD2/TCF7L1/BAX/GADD45G/CTNNB1/CYCS/POLK/FOS/APC/MTOR/APPL1/CDKN1A/RAC1/RALGDS/MAPK1/RAC2/SOS1/AKT1/BBC3/RHOA/SMAD3/RAF1/GADD45B/TP53/RPS6KB1/PMAIP1",43
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","60/2256","137/9382",0.437956204379562,1.82132318683025,5.44869020548388,2.54444301703771e-07,8.93099498980235e-06,8.93099498980235e-06,"PARP4/GADD45A/BCL2A1/RELA/CTSZ/BCL2/CASP9/CSF2RB/PARP2/PARP1/DFFB/IKBKB/IKBKG/APAF1/TNFRSF10A/NRAS/AKT2/TRAF1/DFFA/ACTB/BAX/GADD45G/MCL1/ITPR2/CYCS/FOS/DAXX/BID/LMNA/CASP6/HTRA2/AIFM1/TUBA4A/MAPK1/SPTAN1/CTSD/CASP2/TNF/ITPR1/CTSL/TUBA1C/BIRC3/ATM/PIDD1/EIF2S1/AKT1/BBC3/ACTG1/RAF1/NFKBIA/DDIT3/CASP10/GADD45B/ERN1/TP53/CTSB/ATF4/TNFRSF10B/TNFSF10/PMAIP1",60
