"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC02899",11.8042921377287,-4.38186573993681,1.44887223784019,-3.0243285953693,0.00249185627592619,0.0116208450326723
"HSPE1P27",1.86401038549889,-3.67694727114639,1.34711281381176,-2.72950211255298,0.00634300426919486,0.0248947217060281
"TRIM61",1.85522055009208,-3.67069275230983,1.06120705154794,-3.45897885521542,0.00054222747054514,0.00331241562314527
"RNU6-549P",1.3649567772974,-3.58032061350634,1.29550073984263,-2.76365771426826,0.00571574625568118,0.0228077466795435
"GAPDHP33",1.36428897315998,-3.57969343120949,1.26512448106153,-2.82951874285593,0.00466180693522235,0.0193074790133495
"PRKCE-AS1",2.72670487003642,-3.55014124069765,1.0766696623455,-3.29733563121278,0.000976067863509552,0.00539879024783981
"PIMREGP3",1.32295802533261,-3.53535994177763,1.42283923213068,-2.48472199946545,0.012965263979289,0.0442630390167572
"BRD7P3",2.02497609225164,-3.44823227040079,0.946106995397372,-3.64465360384796,0.000267752184066524,0.00183910799359979
"SORL1-AS1",1.94003164232239,-3.38412971052321,1.25891614263475,-2.68812957107744,0.00718535091948068,0.0275047831977889
"PARS2",11.2222798713631,-3.35922243451226,0.577374118132094,-5.81810359872024,5.9519010986559e-09,2.89291585280174e-07
"RPL36AP33",1.48963290269765,-3.34497796986647,1.15061805528683,-2.9071140979381,0.00364780118369919,0.0157667742948452
"EEF1B2P1",1.48549418986275,-3.34187677512335,0.931348578697402,-3.5882126752127,0.000332952650409415,0.00220788452713871
"TRDC",2.35364621685299,-3.32690587230702,1.00036621934878,-3.32568794103502,0.000882006154936618,0.00496472887086128
"RNU4-82P",1.73677069299494,-3.2163958586271,1.18633092369747,-2.71121303034272,0.00670375410713937,0.0260323187125301
"NXPH3",1.32338656654147,-3.16924564142473,1.26118400061365,-2.51291297691905,0.0119738867440278,0.0414899362354252
"BACH1-IT3",1.31912677463962,-3.1653597360707,1.27118682065403,-2.49008224805392,0.0127713536511541,0.0437181743291665
