"gene","drug","status","approval","score"
"TNF","NERELIMOMAB","Not Approved","",0.561331167299844
"TNF","CROMOLYN SODIUM","Approved","",0.561331167299844
"TNF","PLACULUMAB","Not Approved","",0.561331167299844
"TNF","METHYLENE BLUE","Not Approved","",0.0623701296999827
"TNF","ALTEPLASE","Approved","Thrombolytic agent",0.0534601111714137
"TNF","CARBOPLATIN","Approved","",0.0130542131930196
"TNF","GENTAMICIN","Approved","",0.0488114058521604
"TNF","GOLIMUMAB","Approved","DMARD",NA
"antiinflammatory agent",NA,NA,NA,NA
"Immunosuppressive Agents","2.245324669199378",NA,NA,NA
"TNF","BUPIVACAINE","Approved","neuralgia",NA
"analgesic",NA,NA,NA,NA
"local anestethic",NA,NA,NA,NA
"Local",NA,NA,NA,NA
"Anesthetics","0.06603896085880523",NA,NA,NA
"TNF","PENTOXIFYLLINE","Approved","for treatment of amyotrophic lateral sclerosis (ALS)",0.0160380333514241
"TNF","BENZO[E]PYRENE","Not Approved","",0.187110389099948
"TNF","THALIDOMIDE","Approved","antineoplastic agent",0.0455133378891766
"TNF","PYRAZINAMIDE","Approved","",0.129537961684579
"TNF","GLIMEPIRIDE","Approved","antidiabetic",0.140332791824961
"TNF","OMEPRAZOLE","Approved","antiulcer agent",NA
"Proton pump inhibitor","0.03034222525945105",NA,NA,NA
"TNF","LENERCEPT","Not Approved","",0.561331167299844
"TNF","ADALIMUMAB","Approved","DMARD",NA
"antiinflammatory agent","0.06804014149089023",NA,NA,NA
"TNF","PRAZOSIN HYDROCHLORIDE","Approved","",0.112266233459969
"TNF","REMTOLUMAB","Not Approved","",0.280665583649922
"TNF","MIDOSTAURIN","Approved","antineoplastic agent",0.0320760667028483
"TNF","LENABASUM","Not Approved","",0.187110389099948
"TNF","MAGNESIUM SULFATE ANHYDROUS","Approved","",0.280665583649922
"TNF","PICIBANIL","Not Approved","",0.224532466919938
"TNF","FLUOCINOLONE ACETONIDE","Approved","glucocorticoid",NA
"antiinflammatory agent","0.2245324669199377",NA,NA,NA
"TNF","MILTEFOSINE","Approved","",0.187110389099948
"TNF","HOMIDIUM BROMIDE","Not Approved","",0.0193562471482705
"TNF","OZORALIZUMAB","Not Approved","DMARD",NA
"antiinflammatory agent","1.122662334599689",NA,NA,NA
"TNF","PEGSUNERCEPT","Not Approved","",1.12266233459969
"TNF","CERTOLIZUMAB PEGOL","Approved","DMARD",NA
"antiinflammatory agent","0.3207606670284825",NA,NA,NA
"TNF","THERAPEUTIC HORMONE","Not Approved","",0.0255150530590838
"TNF","NAFAMOSTAT","Not Approved","",0.0510301061181677
"TNF","FOLIC ACID","Approved","",0.046777597274987
"TNF","ABBV-257","Not Approved","",0.280665583649922
"TNF","RISPERIDONE","Approved","Antipsychotic Agents",NA
"antipsychotic agent","0.02513423137163482",NA,NA,NA
"TNF","COVA322","Not Approved","",0.280665583649922
"TNF","HYDROXYCHLOROQUINE","Approved","antirheumatic agent",0.0623701296999827
"TNF","CERTOLIZUMAB","Not Approved","",0.561331167299844
"TNF","AN0128","Not Approved","",0.561331167299844
"TNF","5",NA,NA,NA
"7-DIHYDROXY-4-METHYLCOUMARIN","Not Approved","","0.1403327918249611",NA
"TNF","SORAFENIB","Approved","antineoplastic agent",0.00976228117043208
