,drug,targets,avg_score,target genes
1,CLAZAKIZUMAB,2,2.66345911,
2,ZILTIVEKIMAB,2,0.799037733,
3,PLACULUMAB,2,0.561331167,
4,CHINESE HERBS,2,0.522246884,
5,ECHINACEA PREPARATION,2,0.522246884,"IL6,IL1B"
6,REMTOLUMAB,2,0.280665584,
7,GALLIUM NITRATE,2,0.225312227,"IL6, IL1B"
8,CELASTROL,2,0.158493506,
9,LENALIDOMIDE,2,0.104022909,"CTNNB1, TNF"
10,ALTEPLASE,2,0.075473098,"IL1B, TNF"
11,IBUDILAST,2,0.065280861,"IL6,IL1B"
12,MIDOSTAURIN,2,0.046477566,"TNF,IL6"
,,,,
,MIDOSTAURIN,2,0.046477566,"TNF,IL6"
,ALTEPLASE,2,0.075473098,"IL1B, TNF"
,LENALIDOMIDE,2,0.104022909,"CTNNB1, TNF"
,IBUDILAST,2,0.065280861,"IL6,IL1B"
,GALLIUM NITRATE,2,0.225312227,"IL6, IL1B"
