SRC,VEGFA,IL10,MYC,IL1B,CTNNB1,IL6,TNF,PPARG,CCND1,HIF1A,FOS,class
1336,1337,5,218,1232,2872,0,192,6,1,2285,191890,0
1171,2695,7,204,3184,5997,0,150,27,0,10798,192138,0
1304,1464,0,167,1178,4287,0,120,0,0,7521,176970,0
1238,1498,9,87,2740,3562,29,174,15,0,6758,274361,0
1816,4459,96,222,5754,5958,5,341,15,3,8941,185540,0
1017,942,8,225,436,2837,0,130,20,0,1851,83818,0
1029,1078,17,225,434,2657,7,124,17,0,1980,148481,0
1113,1162,6,161,673,2886,11,183,29,0,2063,128953,0
1048,1029,16,197,202,2516,7,147,21,0,2585,60079,0
1368,652,7,405,406,2930,0,98,7,0,2141,92718,0
1741,1680,20,174,4693,3791,10,323,19,2,3640,201856,0
1473,1361,27,186,5997,3822,14,492,12,1,3692,181971,0
1530,1295,13,222,3427,2803,11,277,4,3,1802,205648,0
1713,1279,20,176,3628,3228,4,357,17,3,2175,181638,0
1489,1179,1,218,1929,3931,8,368,2,2,2123,162304,0
1693,1731,23,294,16807,6712,11,631,15,0,6782,137771,1
2827,3296,89,549,17872,8057,40,1001,43,10,9176,99227,1
1815,2797,33,151,14179,5119,16,986,27,0,4313,120746,1
3150,1380,8,917,224565,4710,2681,100909,54,11,8023,33771,1
2559,2006,51,1004,237795,6589,2181,75921,219,9,15476,54793,1
6855,10913,208,2286,144819,23988,462,13877,75,7,21237,20200,1
1334,2056,19,348,76528,5440,129,8029,28,0,7047,50461,1
2669,3929,68,357,15637,8585,26,1167,27,4,9066,110489,1
1898,1924,65,128,17821,7841,36,1720,14,6,6329,64897,1
