SYN1,GDF15,CDKN2A,SNAI1,SRC,CCR5,MAPK11,APOE,CDK1,HBEGF,ZC3H12A,SAG,PLAUR,CXCL8,VEGFA,IL1R2,MET,BCL6,TREM1,NAMPT,MUC1,SOS1,EGR2,SPP1,IL10,CD69,CSF3,MCM3,ICAM1,SOD2,BMP2,CDKN1A,CSF2,THBS1,KIF23,CCL2,FOSL1,MKI67,MYC,FLT3,CD80,SERPINE1,TRAF1,IL1B,CCL5,NR4A1,SRF,PRDM1,PLAU,PLEK,WNT5A,LMNA,PTGS2,ATF3,CTNNB1,AHR,HSPA1A,CEBPB,TIMP1,IL6,JAG1,SOCS3,E2F1,TTK,TNF,PPARG,EGR1,CCND1,LDLR,ACE,MMP9,HIF1A,SLC2A1,IFNB1,NFKBIA,EDN1,BCL2A1,FOS,class
7,22,4,87,1336,116,16,6,5,1390,865,0,7050,3935,1337,147,2,2844,3943,4106,1,951,350,7,5,60,0,501,1590,10324,2,3276,0,4851,20,7,58,6,218,372,17,1,195,1232,73,2509,1422,173,17,8488,0,1126,1929,591,2872,1461,1414,2557,1764,0,209,8969,27,0,192,6,2350,1,1072,10,88,2285,59,4,12748,1,745,191890,0
22,9,13,192,1171,19,13,7,0,5594,1518,0,21349,16066,2695,200,0,8319,10076,26072,48,448,738,0,7,281,0,191,2855,11449,0,7002,0,19759,22,16,456,21,204,409,4,45,389,3184,372,4057,1371,1185,33,17783,0,2190,4942,3478,5997,2191,91,3199,2260,0,303,9270,30,0,150,27,1502,0,2205,8,70,10798,166,0,18414,30,2713,192138,0
21,28,0,51,1304,134,19,22,0,2412,789,0,11227,8349,1464,148,0,5943,7428,16142,34,639,887,0,0,57,0,389,1861,9457,1,3306,0,9219,46,21,186,13,167,675,4,9,365,1178,145,2086,1155,672,19,13072,0,1323,2786,1319,4287,1782,409,2660,1684,0,293,7872,40,0,120,0,5050,0,653,5,17,7521,111,0,11458,8,1682,176970,0
16,9,2,77,1238,45,13,3,0,4298,1473,0,11798,15575,1498,114,0,4215,6888,12180,11,630,2861,0,9,68,3,317,1965,11950,0,5872,0,12175,10,9,134,39,87,551,1,0,222,2740,185,6876,1404,683,10,9265,9,389,7312,1066,3562,1849,588,2034,1914,29,360,14592,42,0,174,15,28787,0,543,0,36,6758,126,0,13939,5,1689,274361,0
51,29,2,702,1816,192,5,5,10,10250,1711,0,34184,46955,4459,288,12,8578,9278,40823,15,417,3560,7,96,695,1,197,3687,12948,14,16848,0,19026,9,39,855,28,222,564,18,30,373,5754,266,10517,1534,1986,74,20601,0,5419,9230,5603,5958,4374,140,5726,4163,5,406,11503,58,5,341,15,6492,3,2473,5,120,8941,229,0,23900,12,5242,185540,0
0,7,7,22,1017,223,0,0,0,302,461,0,4222,1788,942,88,0,2734,3282,2689,1,981,180,0,8,38,0,475,1001,7470,2,1155,0,1077,36,18,38,0,225,615,0,0,196,436,42,544,1090,169,31,7881,1,313,643,189,2837,916,1318,1518,1514,0,169,4646,2,0,130,20,531,0,547,6,43,1851,78,0,7431,6,1031,83818,0
6,4,7,55,1029,165,7,9,0,1111,536,2,5057,3373,1078,83,0,2438,3899,3794,3,1143,238,0,17,61,0,502,1015,10874,0,1958,0,7892,70,4,39,9,225,429,3,10,175,434,165,1009,1251,229,11,7183,0,1074,1404,331,2657,1397,1702,2586,1976,7,187,13038,14,0,124,17,1201,0,599,9,38,1980,38,0,7736,0,1327,148481,0
13,17,0,55,1113,69,13,2,0,620,601,0,4812,3074,1162,115,0,2511,3299,4621,9,955,378,0,6,44,0,483,1057,8298,0,1812,0,2348,64,19,59,4,161,596,4,0,190,673,123,1841,1252,235,21,7134,0,553,1299,290,2886,1665,1804,2606,2341,11,247,6956,35,0,183,29,3938,0,608,13,93,2063,55,0,8145,4,921,128953,0
3,14,8,26,1048,211,20,0,0,292,422,0,3347,839,1029,130,0,1859,2921,2916,3,1070,97,0,16,19,0,442,1009,8825,0,2144,0,3920,82,22,40,0,197,826,15,5,209,202,79,953,1058,193,4,6878,0,324,447,157,2516,1282,1580,1988,1971,7,220,3389,4,0,147,21,1577,0,796,8,51,2585,65,0,6134,4,633,60079,0
5,7,3,46,1368,285,7,2,0,428,260,2,3427,1256,652,201,0,2083,2878,2910,5,1105,220,0,7,37,0,495,919,7747,0,1598,0,1566,79,15,25,23,405,661,6,4,317,406,94,1153,1123,144,13,6311,0,634,750,171,2930,1799,1614,2161,1668,0,210,4055,18,0,98,7,1178,0,715,7,27,2141,42,0,4467,8,929,92718,0
10,22,8,92,1741,204,43,7,3,2422,1060,2,8431,10043,1680,104,0,4455,6876,8762,7,842,2066,1,20,150,1,356,1931,11158,6,5068,0,1479,41,20,194,15,174,236,8,1,386,4693,68,6278,1889,513,32,10774,1,4280,3102,2226,3791,2076,1231,2939,2062,10,239,7549,58,1,323,19,25505,2,786,4,59,3640,102,0,16836,11,1409,201856,0
9,11,3,164,1473,182,15,9,2,3311,1062,0,8221,21051,1361,205,2,4701,7195,9413,9,748,3175,3,27,165,0,357,1719,11500,8,6162,0,4132,17,37,312,13,186,307,3,9,347,5997,49,6104,1861,632,25,11112,0,1399,6045,2229,3822,2353,939,2100,1878,14,275,8448,36,3,492,12,20627,1,1103,6,87,3692,84,1,18272,17,1710,181971,0
6,18,9,90,1530,271,23,8,0,1374,507,3,3896,6146,1295,77,0,2519,4917,3175,3,1165,1713,0,13,153,1,513,1152,10210,3,2741,0,3057,47,19,66,6,222,351,5,3,376,3427,30,6342,1339,279,9,7309,0,795,3581,1737,2803,1162,2089,1794,1501,11,230,7739,39,2,277,4,17507,3,465,16,40,1802,31,0,10683,7,1005,205648,0
