"STRING_ID","Degree","Betweenness","gene"
"9606.ENSP00000216797",85,4591.5104637509,"NFKBIA"
"9606.ENSP00000218388",68,4406.0015484119,"TIMP1"
"9606.ENSP00000222553",22,3108.32908918076,"NAMPT"
"9606.ENSP00000223095",62,2088.99769252423,"SERPINE1"
"9606.ENSP00000225474",66,3547.32024580458,"CSF3"
"9606.ENSP00000225831",101,3400.52221598121,"CCL2"
"9606.ENSP00000227507",81,7779.43075306711,"CCND1"
"9606.ENSP00000228434",51,2311.82283874833,"CD69"
"9606.ENSP00000230990",44,2361.46824667688,"HBEGF"
"9606.ENSP00000234313",38,8703.21652740641,"PLEK"
"9606.ENSP00000239938",73,8589.10170891864,"EGR1"
"9606.ENSP00000241453",42,3266.5309267962,"FLT3"
"9606.ENSP00000242057",27,2798.79358825475,"AHR"
"9606.ENSP00000242480",29,1878.65548201035,"EGR2"
"9606.ENSP00000244050",48,2572.28728545094,"SNAI1"
"9606.ENSP00000244709",37,3082.16399472647,"TREM1"
"9606.ENSP00000252486",63,8557.45303428453,"APOE"
"9606.ENSP00000252809",24,2272.64773108868,"GDF15"
"9606.ENSP00000254958",36,4015.22487748546,"JAG1"
"9606.ENSP00000260356",53,5114.60936083787,"THBS1"
"9606.ENSP00000260363",28,3849.92094719221,"KIF23"
"9606.ENSP00000263341",161,17219.2585596969,"IL1B"
"9606.ENSP00000264246",74,2704.41963640378,"CD80"
"9606.ENSP00000264634",36,1948.81615605104,"WNT5A"
"9606.ENSP00000264832",91,2401.49520747382,"ICAM1"
"9606.ENSP00000265354",29,3890.20675280695,"SRF"
"9606.ENSP00000267953",33,2359.78884733418,"BCL2A1"
"9606.ENSP00000287820",85,17875.7230108236,"PPARG"
"9606.ENSP00000290866",36,2646.30197441197,"ACE"
"9606.ENSP00000292303",68,7429.23506835124,"CCR5"
"9606.ENSP00000295987",22,6248.30575221543,"SYN1"
"9606.ENSP00000296871",87,2961.9077144736,"CSF2"
"9606.ENSP00000305422",63,4807.40554886843,"CEBPB"
"9606.ENSP00000306245",111,22633.3496003087,"FOS"
"9606.ENSP00000306512",129,6873.61354306321,"CXCL8"
"9606.ENSP00000310170",42,2226.20811218849,"FOSL1"
"9606.ENSP00000317272",42,2869.01296802478,"MET"
"9606.ENSP00000330341",51,2535.90400145469,"SOCS3"
"9606.ENSP00000330959",26,2822.02620603221,"IL1R2"
"9606.ENSP00000333685",31,2355.70022316509,"MAPK11"
"9606.ENSP00000339328",38,5388.91309108427,"PLAUR"
"9606.ENSP00000344352",46,3123.02735712116,"ATF3"
"9606.ENSP00000344456",132,37448.2981959059,"CTNNB1"
"9606.ENSP00000345571",28,5359.46130220678,"E2F1"
"9606.ENSP00000356438",88,3403.43105075414,"PTGS2"
"9606.ENSP00000357283",31,7134.63932294301,"LMNA"
"9606.ENSP00000357643",29,3068.40650467936,"MKI67"
"9606.ENSP00000358092",29,3441.13992064389,"PRDM1"
"9606.ENSP00000358813",28,2545.83555002031,"TTK"
"9606.ENSP00000361405",113,6898.81854227283,"MMP9"
"9606.ENSP00000361850",40,3058.73557640027,"PLAU"
"9606.ENSP00000362179",25,3621.007619994,"ZC3H12A"
"9606.ENSP00000362680",137,46668.5755415751,"SRC"
"9606.ENSP00000362994",31,2636.56853915412,"TRAF1"
"9606.ENSP00000364802",34,6609.60020360622,"HSPA1A"
"9606.ENSP00000368104",48,8072.25211117541,"BMP2"
"9606.ENSP00000368683",52,2954.16763559551,"EDN1"
"9606.ENSP00000369581",62,2201.71084365071,"IFNB1"
"9606.ENSP00000378517",66,2752.81571494186,"SPP1"
"9606.ENSP00000378699",48,11768.7129368376,"CDK1"
"9606.ENSP00000384371",48,3348.02093432646,"BCL6"
"9606.ENSP00000384849",41,4766.69064675967,"CDKN1A"
"9606.ENSP00000385675",182,19795.9662692532,"IL6"
"9606.ENSP00000386444",38,6597.38828727236,"SAG"
"9606.ENSP00000387784",29,2003.93755920673,"SOS1"
"9606.ENSP00000398698",201,34121.4773509704,"TNF"
"9606.ENSP00000412237",127,7342.29699575074,"IL10"
"9606.ENSP00000416293",26,2112.26972549982,"SLC2A1"
"9606.ENSP00000418915",65,15239.0060750108,"CDKN2A"
"9606.ENSP00000437955",101,18338.1524805963,"HIF1A"
"9606.ENSP00000440864",29,3568.40865752421,"NR4A1"
"9606.ENSP00000446252",33,8394.80942692743,"SOD2"
"9606.ENSP00000454071",39,3338.08222395351,"LDLR"
"9606.ENSP00000474412",80,2414.33291686223,"CCL5"
"9606.ENSP00000478570",136,14578.9064254089,"VEGFA"
"9606.ENSP00000479618",145,42680.7186314921,"MYC"
"9606.ENSP00000480987",28,2505.06824529919,"MCM3"
"9606.ENSP00000484824",35,6631.22234852352,"MUC1"
